,Year,Area,DeathCount,Population
821,2016,Connecticut,1568,3584730
822,2016,Arizona,2932,6817565
823,2016,Hawaii,589,1425157
824,2016,Idaho,649,1652828
825,2016,Texas,9155,27429639
826,2016,Wyoming,213,586555
827,2016,New Jersey,3779,8935421
828,2016,New York,8551,19747183
829,2016,North Dakota,291,756835
830,2016,Montana,539,1032073
831,2016,Minnesota,2398,5482435
832,2016,Maryland,2579,5994983
833,2016,Massachusetts,3238,6784240
834,2016,Washington,3116,7160290
835,2016,Wisconsin,2869,5767891
836,2016,Oregon,1958,4024634
837,2016,Alaska,259,737709
838,2016,Illinois,6406,12839047
839,2016,Florida,11931,20244914
840,2016,Georgia,4448,10199398
841,2016,South Carolina,2775,4894834
842,2016,South Dakota,427,857919
843,2016,Iowa,1790,3121997
844,2016,Kansas,1512,2906721
845,2016,Vermont,352,626088
846,2016,Virginia,3900,8367587
847,2016,New Hampshire,758,1330111
848,2016,Pennsylvania,7408,12791904
849,2016,Nebraska,913,1893765
850,2016,Nevada,1336,2883758
851,2016,Delaware,561,944076
852,2016,Arkansas,2124,2977853
853,2016,Alabama,2980,4853875
854,2016,Indiana,3863,6612768
855,2016,Tennessee,4355,6595056
856,2016,Missouri,3870,6076204
857,2016,Mississippi,1910,2989390
858,2016,Michigan,5723,9917715
859,2016,Louisiana,2654,4668960
860,2016,Maine,978,1329453
861,2016,Kentucky,3461,4424611
862,2016,North Carolina,5470,10035186
863,2016,Ohio,7193,11605090
864,2016,Oklahoma,2459,3907414
865,2016,West Virginia,1492,1841053
866,2016,Rhode Island,640,1055607
